Authors,Title,Year,Source title,Link,Abstract
"Chen T., Guestrin C.","XGBoost: A scalable tree boosting system",2016,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984950690&doi=10.1145%2f2939672.2939785&partnerID=40&md5=73effb39b7405c4cd7e8da0e496f6de7","Tree boosting is a highly effective and widely used machine learning method. In this paper, we describe a scalable endto-end tree boosting system called XGBoost, which is used widely by data scientists to achieve state-of-the-art results on many machine learning challenges. We propose a novel sparsity-aware algorithm for sparse data and weighted quantile sketch for approximate tree learning. More importantly, we provide insights on cache access patterns, data compression and sharding to build a scalable tree boosting system. By combining these insights, XGBoost scales beyond billions of examples using far fewer resources than existing systems. © 2016 ACM."
"He X., Liao L., Zhang H., Nie L., Hu X., Chua T.-S.","Neural collaborative filtering",2017,"26th International World Wide Web Conference, WWW 2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031939960&doi=10.1145%2f3038912.3052569&partnerID=40&md5=90266dad26d67d8243243cda18e309a4","In recent years, deep neural networks have yielded immense success on speech recognition, computer vision and natural language processing. However, the exploration of deep neural networks on recommender systems has received relatively less scrutiny. In this work, we strive to develop techniques based on neural networks to tackle the key problem in recommendation — collaborative filtering — on the basis of implicit feedback. Although some recent work has employed deep learning for recommendation, they primarily used it to model auxiliary information, such as textual descriptions of items and acoustic features of musics. When it comes to model the key factor in collaborative filtering — the interaction between user and item features, they still resorted to matrix factorization and applied an inner product on the latent features of users and items. By replacing the inner product with a neural architecture that can learn an arbitrary function from data, we present a general framework named NCF, short for Neural network-based Collaborative Filtering. NCF is generic and can express and generalize matrix factorization under its framework. To supercharge NCF modelling with non-linearities, we propose to leverage a multi-layer perceptron to learn the user–item interaction function. Extensive experiments on two real-world datasets show significant improvements of our proposed NCF framework over the state-of-the-art methods. Empirical evidence shows that using deeper layers of neural networks offers better recommendation performance. © 2017 International World Wide Web Conference Committee (IW3C2)."
"Rendle S., Freudenthaler C., Gantner Z., Schmidt-Thieme L.","BPR: Bayesian personalized ranking from implicit feedback",2009,"Proceedings of the 25th Conference on Uncertainty in Artificial Intelligence, UAI 2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650134987&partnerID=40&md5=649613e4c1351694e19eec3a1a43c902","Item recommendation is the task of predicting a personalized ranking on a set of items (e.g. websites, movies, products). In this paper, we investigate the most common scenario with implicit feedback (e.g. clicks, purchases). There are many methods for item recommendation from implicit feedback like matrix factorization (MF) or adaptive knearest-neighbor (kNN). Even though these methods are designed for the item prediction task of personalized ranking, none of them is directly optimized for ranking. In this paper we present a generic optimization criterion BPR-Opt for personalized ranking that is the maximum posterior estimator derived from a Bayesian analysis of the problem. We also provide a generic learning algorithm for optimizing models with respect to BPR-Opt. The learning method is based on stochastic gradient descent with bootstrap sampling. We show how to apply our method to two state-of-the-art recommender models: matrix factorization and adaptive kNN. Our experiments indicate that for the task of personalized ranking our optimization method outperforms the standard learning techniques for MF and kNN. The results show the importance of optimizing models for the right criterion."
"Pearl J.","Causality",2009,"Causality",,[No abstract available]
"Hu Y., Volinsky C., Koren Y.","Collaborative filtering for implicit feedback datasets",2008,"Proceedings - IEEE International Conference on Data Mining, ICDM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67049164166&doi=10.1109%2fICDM.2008.22&partnerID=40&md5=ed42c02f8bff0d8db25ea2206828b79e","A common task of recommender systems is to improve customer experience through personalized recommendations based on prior implicit feedback. These systems passively track different sorts of user behavior, such as purchase history, watching habits and browsing activity, in order to model user preferences. Unlike the much more extensively esearched explicit feedback, we do not have any direct input from the users regarding their preferences. In particular, we lack substantial evidence on which products consumer dislike. In this work we identify unique properties of implicit feedback datasets. We propose treating the data as indication of positive and negative preference associated with vastly varying confidence levels. This leads to a factor model which is especially tailored for implicit feedback recommenders. We also suggest a scalable optimization procedure, which scales linearly with the data size. The algorithmis used successfully within a recommender system for television shows. It compares favorably with well tuned implementations of other known methods. In addition, we offer a novel way to give explanations to recommendations given by this factor model. ©2008 IEEE."
"He X., Deng K., Wang X., Li Y., Zhang Y., Wang M.","LightGCN: Simplifying and Powering Graph Convolution Network for Recommendation",2020,"SIGIR 2020 - Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088628606&doi=10.1145%2f3397271.3401063&partnerID=40&md5=862daa5c5840d34ec4586bd72ae7cd2d","Graph Convolution Network (GCN) has become new state-of-the-art for collaborative filtering. Nevertheless, the reasons of its effectiveness for recommendation are not well understood. Existing work that adapts GCN to recommendation lacks thorough ablation analyses on GCN, which is originally designed for graph classification tasks and equipped with many neural network operations. However, we empirically find that the two most common designs in GCNs-feature transformation and nonlinear activation-contribute little to the performance of collaborative filtering. Even worse, including them adds to the difficulty of training and degrades recommendation performance. In this work, we aim to simplify the design of GCN to make it more concise and appropriate for recommendation. We propose a new model named LightGCN, including only the most essential component in GCN-neighborhood aggregation-for collaborative filtering. Specifically, LightGCN learns user and item embeddings by linearly propagating them on the user-item interaction graph, and uses the weighted sum of the embeddings learned at all layers as the final embedding. Such simple, linear, and neat model is much easier to implement and train, exhibiting substantial improvements (about 16.0% relative improvement on average) over Neural Graph Collaborative Filtering (NGCF)-a state-of-the-art GCN-based recommender model-under exactly the same experimental setting. Further analyses are provided towards the rationality of the simple LightGCN from both analytical and empirical perspectives. © 2020 ACM."
"Hardt M., Price E., Srebro N.","Equality of opportunity in supervised learning",2016,"Advances in Neural Information Processing Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018874612&partnerID=40&md5=ce6c2d44ec1f64083707a58f4df117a2","We propose a criterion for discrimination against a specified sensitive attribute in supervised learning, where the goal is to predict some target based on available features. Assuming data about the predictor, target, and membership in the protected group are available, we show how to optimally adjust any learned predictor so as to remove discrimination according to our definition. Our framework also improves incentives by shifting the cost of poor classification from disadvantaged groups to the decision maker, who can respond by improving the classification accuracy. We enourage readers to consult the more complete manuscript on the arXiv. © 2016 NIPS Foundation - All Rights Reserved."
"Dwork C., Hardt M., Pitassi T., Reingold O., Zemel R.","Fairness through awareness",2012,"ITCS 2012 - Innovations in Theoretical Computer Science Conference","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856446756&doi=10.1145%2f2090236.2090255&partnerID=40&md5=3dcbd1113e3dca15a06794233638dcf2","We study fairness in classification, where individuals are classified, e.g., admitted to a university, and the goal is to prevent discrimination against individuals based on their membership in some group, while maintaining utility for the classifier (the university). The main conceptual contribution of this paper is a framework for fair classification comprising (1) a (hypothetical) task-specific metric for determining the degree to which individuals are similar with respect to the classification task at hand; (2) an algorithm for maximizing utility subject to the fairness constraint, that similar individuals are treated similarly. We also present an adaptation of our approach to achieve the complementary goal of ""fair affirmative action,"" which guarantees statistical parity (i.e., the demographics of the set of individuals receiving any classification are the same as the demographics of the underlying population), while treating similar individuals as similarly as possible. Finally, we discuss the relationship of fairness to privacy: when fairness implies privacy, and how tools developed in the context of differential privacy may be applied to fairness. © 2012 ACM."
"Pearl J., Mackenzie D.","The Book of Why: the New Science of Cause and Effect",2018,"The Book of Why: The New Science of Cause and Effect",,[No abstract available]
"Li L., Chu W., Langford J., Schapire R.E.","A contextual-bandit approach to personalized news article recommendation",2010,"Proceedings of the 19th International Conference on World Wide Web, WWW '10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954641643&doi=10.1145%2f1772690.1772758&partnerID=40&md5=0deba3e304c09a3db001bfeeca14cd3f","Personalized web services strive to adapt their services (advertisements, news articles, etc.) to individual users by making use of both content and user information. Despite a few recent advances, this problem remains challenging for at least two reasons. First, web service is featured with dynamically changing pools of content, rendering traditional collaborative filtering methods inapplicable. Second, the scale of most web services of practical interest calls for solutions that are both fast in learning and computation. In this work, we model personalized recommendation of news articles as a contextual bandit problem, a principled approach in which a learning algorithm sequentially selects articles to serve users based on contextual information about the users and articles, while simultaneously adapting its article-selection strategy based on user-click feedback to maximize total user clicks. The contributions of this work are three-fold. First, we propose a new, general contextual bandit algorithm that is computationally efficient and well motivated from learning theory. Second, we argue that any bandit algorithm can be reliably evaluated offline using previously recorded random traffic. Finally, using this offline evaluation method, we successfully applied our new algorithm to a Yahoo Front Page Today Module dataset containing over 33 million events. Results showed a 12.5% click lift compared to a standard context-free bandit algorithm, and the advantage becomes even greater when data gets more scarce. © 2010 International World Wide Web Conference Committee (IW3C2)."
