Database,Relevant from Title/Abstract,Exists,Retrievable,Eligible,Title,Authors,Venue,Year,Abstract,Link
Google,Yes,No,Yes,Yes,Exploring author gender in book rating and recommendation,"['MD Ekstrand', 'M Tian', 'MRI Kazi']",… on recommender …,2018.0,Abstract,https://dl.acm.org/doi/abs/10.1145/3240323.3240373
Google,Yes,No,Yes,Yes,The unfairness of popularity bias in book recommendation,"['M Naghiaei', 'HA Rahmani', 'M Dehghan']",… in Search and Recommendation,2022.0,"study popularity bias in state-of-the-art book recommendation algorithms.  recommendation  algorithms using Cornac Footnote 3 , which is a Python-based open source recommendation",https://link.springer.com/chapter/10.1007/978-3-031-09316-6_7
Google,Yes,No,Yes,Yes,Ethical artificial intelligence (AI): confronting bias and discrimination in the library and information industry,['HR Saeidnia'],Library Hi Tech News,2023.0,"the ethical implications of artificial intelligence (AI) in the library and information industry,  specifically focusing on bias  that AI technology is developed and implemented in an ethical and",https://www.emerald.com/insight/content/doi/10.1108/LHTN-10-2023-0182/full/html
Google,Yes,No,Yes,,Representation of libraries in artificial intelligence regulations and implications for ethics and practice,['F Bradley'],… of the Australian Library and Information Association,2022.0,and information professionals will need training and ongoing learning to enable us to  understand and apply principles for ethical AI in our business practices.’ (Australian Library and,https://www.tandfonline.com/doi/abs/10.1080/24750158.2022.2101911
Google,Yes,No,Yes,Yes,Hidden author bias in book recommendation,"['S Daniil', 'M Cuper', 'C Liem', 'J van Ossenbruggen']",arXiv preprint arXiv …,2022.0,", which translates to popularity bias leading to other sorts of data bias as well.  bias within  the book recommendation domain. In this context, book authors are potential recipients of bias",https://arxiv.org/abs/2209.00371
Google,Yes,No,Yes,,"Responsible Operations: Data Science, Machine Learning, and AI in Libraries. OCLC Research Position Paper.",['T Padilla'],,2019.0,"to data science, machine learning, and/or AI efforts in libraries. Investigation should span  development of requirements for library staff and the administrators responsible for guiding,",https://eric.ed.gov/?id=ED603715
Google,Yes,No,Yes,,"The rise of artificial intelligence in libraries: the ethical and equitable methodologies, and prospects for empowering library users",['JO Hodonu-Wusu'],AI and Ethics,2024.0,"AI must be deployed in a way that upholds these promises. This study explores the ethical  and equitable use of AI in libraries,  need to consider when implementing AI. The result of the",https://link.springer.com/article/10.1007/s43681-024-00432-7
Google,Yes,No,Yes,,From Bias to Transparency: Ethical Imperatives in AI-Based Library Cataloging,['H Lowagie'],,2023.0,of cultural perspectives and diverse interpretations of concepts.  of Artificial Intelligence (AI)  and linked subject indexing.  such as machine learning and artificial intelligence (AI) in the,http://repository.ifla.org/handle/123456789/2841
Google,Yes,No,Yes,,The Role of Artificial Intelligence in Information and Library Science: Opportunities and Ethical Considerations,['D Soni'],Int. J. Res. Humanit. Soc. Sci,2023.0,Information and Library Science. Overview of the paper's scope focusing on opportunities  AI presents in ILS and the ethical considerations essential for responsible AI integration.,https://www.raijmr.com/ijrhs/wp-content/uploads/2023/12/IJRHS_2023_vol11_issue_07_08.pdf
Google,Yes,No,Yes,,“What could go wrong?”: An evaluation of ethical foresight analysis as a tool to identify problems of AI in libraries,"['H Bubinger', 'JD Dinneen']",The Journal of Academic Librarianship,2024.0,a tool for identifying potential ethical issues with AI applications in libraries. In  ethical issues  of AI in academic libraries by applying it via an ethical Delphi study of a pilot project using AI,https://www.sciencedirect.com/science/article/pii/S0099133324001046
