Database,Relevant from Title/Abstract,Title,Authors,Venue,Year,Abstract,Link
Google,Yes,Exploring author gender in book rating and recommendation,"['MD Ekstrand', 'M Tian', 'MRI Kazi']",… on recommender …,2018.0,"is a prerequisite to assessing the ethical, legal, moral, and  how recommender systems  interact with author gender in book  the distribution of author genders in existing book data sets",https://dl.acm.org/doi/abs/10.1145/3240323.3240373
Google,Yes,The unfairness of popularity bias in book recommendation,"['M Naghiaei', 'HA Rahmani', 'M Dehghan']",… in Search and Recommendation,2022.0,"study popularity bias in state-of-the-art book recommendation algorithms.  recommendation  algorithms using Cornac Footnote 3 , which is a Python-based open source recommendation",https://link.springer.com/chapter/10.1007/978-3-031-09316-6_7
Google,No,Investigation on human rights ethics in artificial intelligence researches with library literature analysis method,['Z Miao'],The Electronic Library,2019.0,ethical dilemma encountered in the application and development of AI technology has  been focused on and analyzed in detail in the light of the existing research status of AI ethics.,https://www.emerald.com/insight/content/doi/10.1108/EL-04-2019-0089/full/html
Google,No,A study of position bias in digital library recommender systems,"['A Collins', 'D Tkaczyk', 'A Aizawa', 'J Beel']",arXiv preprint arXiv:1802.06565,2018.0,"of position bias in recommender systems, and  bias in recommender systems for digital  libraries, to the best of our knowledge. Recommender system studies do not usually assess bias",https://arxiv.org/abs/1802.06565
Google,Yes,Ethical artificial intelligence (AI): confronting bias and discrimination in the library and information industry,['HR Saeidnia'],Library Hi Tech News,2023.0,"the ethical implications of artificial intelligence (AI) in the library and information industry,  specifically focusing on bias  that AI technology is developed and implemented in an ethical and",https://www.emerald.com/insight/content/doi/10.1108/LHTN-10-2023-0182/full/html
Google,Yes,Representation of libraries in artificial intelligence regulations and implications for ethics and practice,['F Bradley'],… of the Australian Library and Information Association,2022.0,and information professionals will need training and ongoing learning to enable us to  understand and apply principles for ethical AI in our business practices.’ (Australian Library and,https://www.tandfonline.com/doi/abs/10.1080/24750158.2022.2101911
Google,Yes,Hidden author bias in book recommendation,"['S Daniil', 'M Cuper', 'C Liem', 'J van Ossenbruggen']",arXiv preprint arXiv …,2022.0,", which translates to popularity bias leading to other sorts of data bias as well.  bias within  the book recommendation domain. In this context, book authors are potential recipients of bias",https://arxiv.org/abs/2209.00371
Google,No,Oxford handbook on AI ethics book chapter on race and gender,['T Gebru'],arXiv preprint arXiv:1908.06165,2019.0,"bias. While many technical solutions have been proposed to alleviate bias in machine  learning  have never thought about AI ethics except in the abstract, or have only been forced to",https://arxiv.org/abs/1908.06165
Google,Yes,"Responsible Operations: Data Science, Machine Learning, and AI in Libraries. OCLC Research Position Paper.",['T Padilla'],,2019.0,"to data science, machine learning, and/or AI efforts in libraries. Investigation should span  development of requirements for library staff and the administrators responsible for guiding,",https://eric.ed.gov/?id=ED603715
Google,Yes,"The rise of artificial intelligence in libraries: the ethical and equitable methodologies, and prospects for empowering library users",['JO Hodonu-Wusu'],AI and Ethics,2024.0,"AI must be deployed in a way that upholds these promises. This study explores the ethical  and equitable use of AI in libraries,  need to consider when implementing AI. The result of the",https://link.springer.com/article/10.1007/s43681-024-00432-7
Google,No,Position bias in recommender systems for digital libraries,"['A Collins', 'D Tkaczyk', 'A Aizawa', 'J Beel']",International Conference on …,2018.0,Our research confirms that position bias exists for recommender systems in digital libraries.  The analysis shows that articles recommended at higher positions received significantly,https://link.springer.com/chapter/10.1007/978-3-319-78105-1_37
Google,No,Fairness-aware configuration of machine learning libraries,"['S Tizpaz-Niari', 'A Kumar', 'G Tan', 'A Trivedi']",Proceedings of the 44th …,2022.0,"-dominated byд ifACCMh < ACCMд and F Mh < F Mд ) and Pareto-bias- low bias (high  fairness) or high bias (low fairness), our goal is to compute Pareto sets for both fairness and bias",https://dl.acm.org/doi/abs/10.1145/3510003.3510202
Google,Yes,From Bias to Transparency: Ethical Imperatives in AI-Based Library Cataloging,['H Lowagie'],,2023.0,of cultural perspectives and diverse interpretations of concepts.  of Artificial Intelligence (AI)  and linked subject indexing.  such as machine learning and artificial intelligence (AI) in the,http://repository.ifla.org/handle/123456789/2841
Google,Yes,The Role of Artificial Intelligence in Information and Library Science: Opportunities and Ethical Considerations,['D Soni'],Int. J. Res. Humanit. Soc. Sci,2023.0,Information and Library Science. Overview of the paper's scope focusing on opportunities  AI presents in ILS and the ethical considerations essential for responsible AI integration.,https://www.raijmr.com/ijrhs/wp-content/uploads/2023/12/IJRHS_2023_vol11_issue_07_08.pdf
Google,Yes,“What could go wrong?”: An evaluation of ethical foresight analysis as a tool to identify problems of AI in libraries,"['H Bubinger', 'JD Dinneen']",The Journal of Academic Librarianship,2024.0,a tool for identifying potential ethical issues with AI applications in libraries. In  ethical issues  of AI in academic libraries by applying it via an ethical Delphi study of a pilot project using AI,https://www.sciencedirect.com/science/article/pii/S0099133324001046
Google,Yes,For an ethics of personalized recommendation at the French National Library,"['C Leclaire', 'L Termignon']",,2022.0,and ethical principles guide the French National Library as it  recommendation system  powered by artificial intelligence (AI)? How does this approach reflect the institution's overall AI,http://repository.ifla.org/handle/123456789/2074
Google,Yes,"Ethical Implications of Artificial Intelligence and Machine Learning in Libraries and Information Centres: A Frameworks, Challenges, and Best Practices.",['S Mishra'],Library Philosophy & Practice,2023.0,"for libraries and information centres, and recommends future  and monitoring of the ethical  implications of AI and ML.  and ethical approach to the use of AI and ML in libraries and",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15220222&AN=175555132&h=Zq8lk4hIqArjLFpK9SvOsx5I0KeJbI9ZoTjJde%2BtFTuvs%2FSpXNo64TcGgfZlTE3j5s5P9rH0fmMEVSlVRbXogg%3D%3D&crl=c
Google,No,Introduction to the Special Issue: Responsible AI in Libraries and Archives,"['S Mannheimer', 'D Rossmann', 'J Clark']",Journal of eScience …,2024.0,"begin using artificial intelligence (AI) to enhance library services, we also aim to interrogate  the ethical issues that arise. The IMLS-funded Responsible AI in Libraries and Archives",https://scholarworks.umt.edu/ml_pubs/36/
Google,Yes,Ethical Considerations of AI Implementation in the Library Era,"['N Rajkumar', 'C Viji', 'A Mohanraj']",Improving Library …,2024.0,"and fairness, reading how biases in AI systems can  Various methods to mitigating bias  and selling fairness in AI  of AI in digital libraries and the strategic imperatives for ethical and",https://www.igi-global.com/chapter/ethical-considerations-of-ai-implementation-in-the-library-era/347642
Google,Yes,Harnessing AI Technologies: Innovations in Literacy Libraries for Diverse Learners,['ZIA Ajwa'],International Journal of Cyber and IT Service …,2024.0,"in implementing artificial intelligence (AI) in library services.  artificial intelligence into library  services[18]. In this study, the research method used is literature study, by analyzing library",https://iiast.iaic-publisher.org/ijcitsm/index.php/IJCITSM/article/view/145
Google,No,Ethical implications of implicit bias in AI: Impact for academic libraries,"['K Nayyer', 'M Rodriguez']",,2022.0,"some paths to the ethical use of AI applications in academic libraries. After a general exploration  of the essence of machine learning (ML), this chapter explains what implicit bias is, how",https://ecommons.cornell.edu/bitstream/1813/111207/2/Rise%20of%20AI_Chapter%2013.pdf
