Database,Title,Authors,Venue,Year,Abstract,Link
Google,A Recommendation Approach Based on Heterogeneous Network and Dynamic Knowledge Graph,"['S Wan', 'Y Wu', 'Y Liu', 'L Xiao']",International Journal of …,2024.0,"in recommender systems, which will lead to various data bias problems for items. Data bias   In this study, the datasets of MovieLens-1M movies and Book Crossing books are applied",https://onlinelibrary.wiley.com/doi/abs/10.1155/2024/4169402
Scopus,A Recommendation Approach Based on Heterogeneous Network and Dynamic Knowledge Graph,Wan S.; Wu Y.; Liu Y.; Xiao L.; Guo M.,International Journal of Intelligent Systems,2024.0,"Besides data sparsity and cold start, recommender systems often face the problems of selection bias and exposure bias. These problems influence the accuracy of recommendations and easily lead to overrecommendations. This paper proposes a recommendation approach based on heterogeneous network and dynamic knowledge graph (HN-DKG). The main steps include (1) determining the implicit preferences of users according to user's cross-domain and cross-platform behaviors to form multimodal nodes and then building a heterogeneous knowledge graph; (2) Applying an improved multihead attention mechanism of the graph attention network (GAT) to realize the relationship enhancement of multimodal nodes and constructing a dynamic knowledge graph; and (3) Leveraging RippleNet to discover user's layered potential interests and rating candidate items. In which, some mechanisms, such as user seed clusters, propagation blocking, and random seed mechanisms, are designed to obtain more accurate and diverse recommendations. In this paper, the public datasets are used to evaluate the performance of algorithms, and the experimental results show that the proposed method has good performance in the effectiveness and diversity of recommendations. On the MovieLens-1M dataset, the proposed model is 18%, 9%, and 2% higher than KGAT on F1, NDCG@10, and AUC and 20%, 2%, and 0.9% higher than RippleNet, respectively. On the Amazon Book dataset, the proposed model is 12%, 3%, and 2.5% higher than NFM on F1, NDCG@10, and AUC and 0.8%, 2.3%, and 0.35% higher than RippleNet, respectively.  © 2024 Shanshan Wan et al.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182401327&doi=10.1155%2f2024%2f4169402&partnerID=40&md5=b867c3a91b0077facde75d93387f5233
Google,A probabilistic perspective on nearest neighbor for implicit recommendation,"['DM Kelen', 'AA Benczúr']",International Journal of Data Science and …,2023.0,"Over the past years, the recommender systems community  In our work, we are concerned  with the bias introduced by  We also selected one dataset, the Amazon Books, which is not part",https://link.springer.com/article/10.1007/s41060-022-00367-4
Google,A probabilistic perspective on nearest neighbor for implicit recommendation,"['DM Kelen', 'AA Benczúr']",2021 International Conference on …,2021.0,"Over the past years, the recommender systems community invented several novel   with the bias introduced by the method as also observed in [13], instead of the bias present",https://ieeexplore.ieee.org/abstract/document/9679933/
Scopus,Bounded matrix factorization for recommender system,Kannan R.; Ishteva M.; Park H.,Knowledge and Information Systems,2014.0,"Matrix factorization has been widely utilized as a latent factor model for solving the recommender system problem using collaborative filtering. For a recommender system, all the ratings in the rating matrix are bounded within a pre-determined range. In this paper, we propose a new improved matrix factorization approach for such a rating matrix, called Bounded Matrix Factorization (BMF), which imposes a lower and an upper bound on every estimated missing element of the rating matrix. We present an efficient algorithm to solve BMF based on the block coordinate descent method. We show that our algorithm is scalable for large matrices with missing elements on multicore systems with low memory. We present substantial experimental results illustrating that the proposed method outperforms the state of the art algorithms for recommender system such as stochastic gradient descent, alternating least squares with regularization, SVD++ and Bias-SVD on real-world datasets such as Jester, Movielens, Book crossing, Online dating and Netflix. © 2013 Springer-Verlag London.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900521917&doi=10.1007%2fs10115-013-0710-2&partnerID=40&md5=f692aba5e56af7d8cd700eb399799ed3
Google,Bounded matrix factorization for recommender system,"['R Kannan', 'M Ishteva', 'H Park']",Knowledge and information systems,2014.0,"the state of the art algorithms for recommender system such as stochastic gradient descent,   + and Bias-SVD on real-world datasets such as Jester, Movielens, Book crossing, Online",https://link.springer.com/article/10.1007/s10115-013-0710-2
Google,Bounded matrix low rank approximation,"['R Kannan', 'M Ishteva', 'B Drake', 'H Park']",Non-negative Matrix Factorization …,2016.0,"We also present an alternate formulation to bound existing recommender systems algorithms   + and bias-SVD on real-world datasets such as Jester, Movielens, Book crossing, Online",https://link.springer.com/chapter/10.1007/978-3-662-48331-2_4
Scopus,Bounded matrix low rank approximation,Kannan R.; Ishteva M.; Park H.,"Proceedings - IEEE International Conference on Data Mining, ICDM",2012.0,"Matrix lower rank approximations such as nonnegative matrix factorization (NMF) have been successfully used to solve many data mining tasks. In this paper, we propose a new matrix lower rank approximation called Bounded Matrix Low Rank Approximation (BMA) which imposes a lower and an upper bound on every element of a lower rank matrix that best approximates a given matrix with missing elements. This new approximation models many real world problems, such as recommender systems, and performs better than other methods, such as singular value decompositions (SVD) or NMF. We present an efficient algorithm to solve BMA based on coordinate descent method. BMA is different from NMF as it imposes bounds on the approximation itself rather than on each of the low rank factors. We show that our algorithm is scalable for large matrices with missing elements on multi core systems with low memory. We present substantial experimental results illustrating that the proposed method outperforms the state of the art algorithms for recommender systems such as Stochastic Gradient Descent, Alternating Least Squares with regularization, SVD++, Bias-SVD on real world data sets such as Jester, Movielens, Book crossing, Online dating and Netflix. © 2012 IEEE.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874025563&doi=10.1109%2fICDM.2012.131&partnerID=40&md5=47c29db877f18501a828fde11ae062bf
Scopus,Bounded matrix low rank approximation,Kannan R.; Ishteva M.; Drake M.; Park H.,Non-negative Matrix Factorization Techniques: Advances in Theory and Applications,2015.0,"Lowrank approximation is the problem of finding twomatrices P ∈ Rm×k and Q ∈ Rk×n for input matrix R ∈ Rm×n, such that R ≈ PQ. It is common in recommender systems rating matrix, where the input matrix R is bounded in the closed interval [rmin, rmax] such as [1, 5]. In this chapter, we propose a new improved scalable low rank approximation algorithm for such bounded matrices called bounded matrix low rank approximation (BMA) that bounds every element of the approximation PQ. We also present an alternate formulation to bound existing recommender systems algorithms called BALS and discuss its convergence. Our experiments on real-world datasets illustrate that the proposed method BMA outperforms the stateof-the-art algorithms for recommender system such as stochastic gradient descent, alternating least squares with regularization, SVD++ and bias-SVD on real-world datasets such as Jester, Movielens, Book crossing, Online dating, and Netflix. © Springer-Verlag Berlin Heidelberg 2016. All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956645580&doi=10.1007%2f978-3-662-48331-2_4&partnerID=40&md5=5c5b6becf191727b950fdb5f723c3bd3
Google,Content-Aware Few-Shot Meta-Learning for Cold-Start Recommendation on Portable Sensing Devices,"['X Lv', 'K Fang', 'T Liu']",Sensors,2024.0,", MovieLens, and Book-Crossing—demonstrate the superiority of  has been integrated into  recommender systems to tackle the  Sampling-bias-corrected neural modeling for large corpus",https://www.mdpi.com/1424-8220/24/17/5510
