Database,Relevant,Title,Authors,Venue,Year,Abstract,Link
Google,Yes,Popularity bias in collaborative filtering-based multimedia recommender systems,"['D Kowald', 'E Lacic']",… Workshop on Algorithmic Bias in Search and …,2022.0,"bias that is related to our work. We split these research outcomes in two groups: (i) work  related to recommender  methods as used in case of BookCrossing to the MyAnimeList dataset,",https://link.springer.com/chapter/10.1007/978-3-031-09316-6_1
Google,Old,Exploring and mitigating gender bias in recommender systems with explicit feedback,"['S Saxena', 'S Jain']",arXiv preprint arXiv:2112.02530,2021.0,(θu) distribution for the recommendations produced by the algorithms without employing  our debiased model in Figures 3 and 6 for Amazon and BookCrossing datasets respectively.,https://arxiv.org/abs/2112.02530
Google,Yes,Correcting the user feedback-loop bias for recommendation systems,"['W Pan', 'S Cui', 'H Wen', 'K Chen', 'C Zhang']",arXiv preprint arXiv …,2021.0,-loop bias on the Movielens 20M and Goodreads dataset.  -recommender system feedback  loop. These works mainly illustrated via simulation the existence of user feedback-loop bias,https://arxiv.org/abs/2109.06037
Google,No,Enhancing Book Recommendation with the use of Reviews,['PG Sudasinghe'],,2022.0,"recommender system performs better than pure collaborative filtering algorithms such as  k-nearest neighbor and SVD for the same Goodreads  𝑏𝑢,𝑏𝑖 refers to the bias terms of user u",https://dl.ucsc.cmb.ac.lk/jspui/handle/123456789/4596
Google,Yes,Explaining recommender systems fairness and accuracy through the lens of data characteristics,"['Y Deldjoo', 'A Bellogin', 'T Di Noia']",Information processing & management,2021.0,"A general formulation over popularity bias assessment is  As for the BookCrossing dataset,  we noticed it has a number  30% of the interactions in BookCrossing to serve as the original",https://www.sciencedirect.com/science/article/pii/S0306457321001503
Google,No,Top-N recommendation for shared account on book recommender system,"['RP Putra', 'D Nurjanah', 'R Rismala']",… International Conference on …,2018.0,", 9 and 10 on BookCrossing dataset and the  bias p = 1 results in the best performance by  achieving the smallest score of Fraction at Zero Recall. This means that we create a large bias",https://ieeexplore.ieee.org/abstract/document/8696033/
Google,No,Calibration in Recommender Systems,['DIDE Lex'],,,"and finally the problem of popularity bias, which we will  BookCrossing, the LastFM dataset  performs best for the MedPop group, this time even more clearly. But contrary to BookCrossing",https://domkowald.github.io/documents/others/2022mayr_bakk.pdf
Google,Yes,Managing multi-facet bias in collaborative filtering recommender systems,"['SV Barenji', 'S Farzi']",arXiv preprint arXiv:2302.10575,2023.0,"Bias representation in Book-Crossing. Visibility and exposure  In this study, we addressed  two types of bias in CF recommender systems at once: geographic bias and popularity bias.",https://arxiv.org/abs/2302.10575
Google,No,Sentiment Analysis and Innovative Recommender System: Enhancing Goodreads Book Discovery Using Hybrid Collaborative and Content Based Filtering,"['LC Hui', 'P Keikhosrokiani', 'MP Asl', 'M Isomursu']",… Conference of Reliable …,2023.0,is representative of the diverse range of users and scenarios would reduce bias.  Collecting data from a wide range of sources and demographics is also useful to reduce bias.,https://link.springer.com/chapter/10.1007/978-3-031-59707-7_9
Google,No,User recommendation in content curation platforms,"['J Wang', 'Z Zhu', 'J Caverlee']",… of the 13th International Conference on …,2020.0,"leads to a 18.43% (Goodreads) and 6.14% (Spotify)  component of modern recommender  systems to connect users to  initializing the weight matrices and bias for encoders, we load the",https://dl.acm.org/doi/abs/10.1145/3336191.3371822
Google,No,Recommending user generated item lists,"['Y Liu', 'M Xie', 'LVS Lakshmanan']",… 8th ACM Conference on Recommender …,2014.0,"Unfortunately, existing recommender systems are not designed for  a real item list dataset  from Goodreads, we demonstrate the  Thus this popularity bias becomes an important factor for",https://dl.acm.org/doi/abs/10.1145/2645710.2645750
Google,No,Exploring Potentially Discriminatory Biases In Book Recommendation,['MIR Kazi'],,2016.0,Recommender as a basis for observation of the bias in both input and output of a recommender  Sample Data We analyzed a sample of 1000 users from the Book Crossing Dataset. Our,https://digital.library.txstate.edu/bitstream/10877/6306/1/KAZI-THESIS-2016.pdf
Google,No,Building the optimal Book Recommender and measuring the role of Book Covers in predicting user ratings,"['C Logé', 'A Yoffe']",,,"Goodreads is a social platform combined with a book  a Book Recommender such that for  any given Goodreads user,  at 0.29, which implies a popularity bias in the model. TF-iDF gives",https://cs229.stanford.edu/proj2019aut/data/assignment_308832_raw/26608191.pdf
Google,No,There's Science in my Fiction! And Other Troubles: How A Recommender System Can Help the Academic Library,['VE Coleman'],,2012.0,"Goodreads collection can apply to become a Goodreads librarian and have the authority to  edit records. There is even a book swap system. In theory, Goodreads  ” on Goodreads are",https://cdr.lib.unc.edu/concern/masters_papers/0z709108m
Google,Yes,Reproducing popularity bias in recommendation: The effect of evaluation strategies,"['S Daniil', 'M Cuper', 'CCS Liem']",… on Recommender …,2024.0,"[26], Kowald and Lacic [25] study popularity bias by four  , namely MovieLens1M, LastFM  and Book-Crossing. It is interesting  evaluating popularity bias and other recommender systems",https://dl.acm.org/doi/abs/10.1145/3637066
Google,No,“I'm looking for something like…”: Combining Narratives and Example Items for Narrative-driven Book Recommendation,"['T Bogers', 'M Koolen']",… -aware and Conversational Recommender …,2018.0,recommendation in the context of LibraryThing users posting recommendation requests in   of recommendation; we are aware of the bias this may introduce. Sentiment analysis could,https://vbn.aau.dk/en/publications/im-looking-for-something-like-combining-narratives-and-example-it
Google,Yes,What recommenders recommend: an analysis of recommendation biases and possible countermeasures,"['D Jannach', 'L Lerche', 'I Kamehkhosh']",User Modeling and User …,2015.0,"Most real-world recommender systems are  bias of BPR and Factorization Machines (ALS).  Also, the Koren-MF recommends quite unpopular items on the smaller BookCrossing, HRS",https://link.springer.com/article/10.1007/s11257-015-9165-3
Google,Yes,Goodreads: A social network site for book readers,"['M Thelwall', 'K Kousha']",Journal of the Association for …,2017.0,"Goodreads has tens of millions of book reviews,  This article describes a first investigation  of the properties of Goodreads  Goodreads librarians and super‐users engage extensively",https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/asi.23733
Google,Yes,Fairness and Popularity Bias in Recommender Systems: an Empirical Evaluation.,"['C Musto', 'P Lops', 'G Semeraro']",DP@ AI* IA,2021.0,"recommendations, and GoodBooks, focusing on book recommendations. Statistics of the  datasets are provided in Table 1. As shown in the table, GoodBooks contains more ratings and",https://www.academia.edu/download/98502957/paper-69.pdf
Google,Yes,Revealing and Addressing Bias in Recommender Systems,['X Zhao'],,2021.0,"Through experiments over six datasets from Amazon, Goodreads, and MovieLens, we find  the proposed model leads to a significant improvement in RMSE versus a suite of benchmark",https://search.proquest.com/openview/959182f2497ee86b12ddfd9e19e69ed0/1?pq-origsite=gscholar&cbl=18750&diss=y
Google,No,Using collaborative filtering in social book search,"['H Huurdeman', 'J Kamps', 'M Koolen']",INEX 2012 Workshop Pre …,2012.0,"Dirichlet smoothing introduces an implicit document length bias [7]. As  a recommender  system based on CF, we had to obtain user profiles and personal catalogues of LibraryThing",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=855e7e2cd6a8cb81eeb3fad13682b10306b8ca81#page=125
Google,Yes,Provider fairness across continents in collaborative recommender systems,"['E Gómez', 'L Boratto', 'M Salamó']",Information Processing & Management,2022.0,"If bias is associated with sensitive attributes of the users ( However, there are scenarios in  which a recommender system  that, while our second dataset, Book-Crossing, has much fewer",https://www.sciencedirect.com/science/article/pii/S030645732100203X
Google,No,A collaborative filtering recommendation system for rating prediction,"['K Davagdorj', 'KH Park', 'KH Ryu']",… of the 15th International Conference on …,2019.0,-world public datasets: Book Crossing and Movie Lens 100 K  model with one that incorporates  bias to create the model to  In most recommender systems based on items rating which,https://link.springer.com/chapter/10.1007/978-981-13-9714-1_29
Google,Yes,Broadening the Scope: Evaluating the Potential of Recommender Systems beyond prioritizing Accuracy,"['V Paparella', 'D Di Palma', 'VW Anelli']",… on Recommender …,2023.0,"Figure 1: Kiviat diagrams indicating the performance of the models on the Goodreads   Finally, we measure the popularity bias of the recommendations with APLT [1] – the greater, the",https://dl.acm.org/doi/abs/10.1145/3604915.3610649
Google,Yes,Modeling User Repeat Consumption Behavior for Online Novel Recommendation,"['Y Li', 'C Yin', 'Y He', 'G Xu', 'J Cai', 'L Luo']",… on Recommender …,2022.0,"While the platforms (eg BookCrossing, Amazon and GoodReads) that conventional book   the popularity bias problem. In the future, we will try to mitigate the popularity bias problem of",https://dl.acm.org/doi/abs/10.1145/3523227.3546762
Google,Yes,Improving the estimation of tail ratings in recommender system with multi-latent representations,"['X Zhao', 'Z Zhu', 'Y Zhang', 'J Caverlee']",… on Web Search and Data Mining,2020.0,", degrade trust in the recommender, and for controversial items,  Amazon, Goodreads, and  MovieLens, we find the proposed  The bias terms capture user bias (bu ), item bias (bi ), and a",https://dl.acm.org/doi/abs/10.1145/3336191.3371810
Google,Yes,On the challenges of studying bias in Recommender Systems: A UserKNN case study,"['S Daniil', 'M Slokom', 'M Cuper', 'C Liem']",arXiv preprint arXiv …,2024.0,"Specifically, we choose the interactions in a subset of the Book-Crossing dataset [22, 31] as  a baseline, but remove the rating values. To reflect on the observations above, we form a set",https://arxiv.org/abs/2409.08046
Google,No,Improving Top-N evaluation of recommender systems,['V Mahant'],,2016.0,In this run with BookCrossing we didn’t include the RMSE and Predict.nDCG metrics.  After  observing this bias we decided to test the recommender by providing 25% of the items in data,https://digital.library.txstate.edu/bitstream/10877/6309/1/MAHANT-THESIS-2016.pdf
Google,No,Brek12: A book recommender for k-12 users,"['MS Pera', 'YK Ng']",Proceedings of the 35th international ACM SIGIR …,2012.0,"BReK12 considers multiple readability formulas in tandem to avoid any bias on using  one or  formance of BReK12, we use a portion of the Bookcrossing dataset (informatik.uni-freiburg.",https://dl.acm.org/doi/abs/10.1145/2348283.2348457
Google,No,Natural language processing for book recommender systems,['H Alharthi'],,2019.0,Recommender systems (RSs) can help stop such decline. There is a lot of research  We  propose content-based recommender systems that extract elements learned from book texts to,https://ruor.uottawa.ca/items/7f3a658b-b7b2-4e83-90fc-de3cc24c6f24
Google,No,Topic-Level Bayesian Surprise and Serendipity for Recommender Systems,"['T Hasan', 'R Bunescu']",… of the 17th ACM Conference on Recommender …,2023.0,"A recommender system that optimizes its recommendations  reading histories extracted from  Goodreads, containing over  While this may lead to selection bias, it was done to minimize",https://dl.acm.org/doi/abs/10.1145/3604915.3608851
Google,Yes,Bias-Aware Hierarchical Clustering for detecting the discriminated groups of users in recommendation systems,"['J Misztal-Radecka', 'B Indurkhya']",Information Processing & Management,2021.0,Bias-Aware Hierarchical Clustering algorithm that identifies user clusters based on latent  embeddings constructed by a black-box recommender  ) and AFM model for Book-Crossing (B).,https://www.sciencedirect.com/science/article/pii/S0306457321000285
Google,No,Improving Reachability and Navigability in Recommender Systems,"['D Lamprecht', 'M Strohmaier', 'D Helic']",arXiv preprint arXiv:1507.08120,2015.0,"that are prone to a popularity bias, with recommendations biased towards  BookCrossing  the Neighbors knowledge. This is likely an artifact of the higher clustering in the BookCrossing",https://arxiv.org/abs/1507.08120
Google,No,Essays on Consumer Switching and Search Behavior,['Q Han'],,2017.0,"Goodreads is the average rating at the social book  More specifically, we find that physical  recommender system applications  Thus we can use GPS to remove the bias associated with",https://kilthub.cmu.edu/articles/thesis/Essays_on_Consumer_Switching_and_Search_Behavior/6716402/files/12249770.pdf
Google,Yes,Challenging the myth of graph collaborative filtering: a reasoned and reproducibility-driven analysis,"['VW Anelli', 'D Malitesta', 'C Pomo', 'A Bellogín']",… on Recommender …,2023.0,significantly advanced recommender systems by effectively  datasets (Allrecipes and  BookCrossing) that lack established  bias or (considering the way they were processed) such bias,https://dl.acm.org/doi/abs/10.1145/3604915.3609489
Google,No,A method for evaluating discoverability and navigability of recommendation algorithms,"['D Lamprecht', 'M Strohmaier', 'D Helic']",Computational social networks,2017.0,"a popularity bias identified in recommender systems [9, 17].  For the case of collaborative  filtering and BookCrossing for \( and for BookCrossing, we use the information from Goodreads,",https://link.springer.com/article/10.1186/s40649-017-0045-3
Google,No,USING STRUCTURED INFORMATION FROM TAGS FOR BOOK RECOMMENDATIONS,['M BERBATOVA'],,2020.0,"recommender systems retrieved by Google Scholar when search is performed for “goodbooks  The simplest way to bias the random walks is to sample based on the edge weights, if any.",https://www.researchgate.net/profile/Melania-Berbatova/publication/353411035_Using_Structured_Information_from_Tags_for_Book_Recommendations/links/60fabe831e95fe241a818dd6/Using-Structured-Information-from-Tags-for-Book-Recommendations.pdf
Google,Yes,From recommendation to curation: when the system becomes your personal docent,"['N Dragovic', 'I Madrazo Azpiazu', 'MS Pera']",,2018.0,"book metadata from Amazon.com and LibraryThing. We complement this collection with (i)   Recommender response to diversity and popularity bias in user profiles. In AAAI FLAIRS,",https://scholarworks.boisestate.edu/cs_facpubs/167/
Google,No,Unsupervised Topic Modelling in a Book Recommender System for New Users.,"['H Alharthi', 'D Inkpen', 'S Szpakowicz']",eCOM@ SIGIR,2017.0,", we collected data from Goodreads for the book profiles. User Goodreads IDs were obtained   However, we did not filter out such books because this would introduce a bias and favour",https://www.academia.edu/download/81756650/paper_4.pdf
Google,No,Applying Recommended Systems to Books Regarding User's Similarities and Reader's Ratings,['EN Moralejo'],,2023.0,to identify the most accurate recommender system based on user  is provided by the  GoodReads website which collects data not  This bias is problematic as an item that the user,https://search.proquest.com/openview/053a91f5a839651e63c85be0f57fbaae/1?pq-origsite=gscholar&cbl=2026366&diss=y
Google,Yes,Gender homophily in online book networks,['D Bucur'],Information sciences,2019.0,"networks, the web, or recommender networks similar to our book  The reviews available  per book are ranked by Goodreads  To remove that association bias, we also define r d , a",https://www.sciencedirect.com/science/article/pii/S0020025519300040
Google,Yes,Effective methods for increasing aggregate diversity in recommender systems,"['MÖ Karakaya', 'T Aytekin']",knowledge and Information Systems,2018.0,"recommender algorithms tend to recommend highly popular (ie, highly rated) items which is  one of the main sources of popularity bias  , we reduced the Bookcrossing and Yahoo Music",https://link.springer.com/article/10.1007/s10115-017-1135-0
Google,Yes,Dual-Side Adversarial Learning Based Fair Recommendation for Sensitive Attribute Filtering,"['S Liu', 'Y Zhang', 'L Yi', 'X Deng', 'LT Yang']",ACM Transactions on …,2024.0,"Although recommender systems have become a ubiquitous  We note that on the BookCrossing  dataset, the saACC of all  for eliminating popularity bias in recommender system. In",https://dl.acm.org/doi/abs/10.1145/3648683
Google,No,Integrated Personalized Book Recommendation using Social Media Analysis,"['KK Singh', 'I Banerjee']",Parikalpana KIIT Journal of Management,2023.0,"was multiplied with the book’s rating to remove the subjectivity bias. The books were sorted   such as a collection of Goodreads books, Amazon and Goodreads reviews, purchase history",https://www.indianjournals.com/ijor.aspx?target=ijor:pkjm&volume=19&issue=1&article=007
Google,No,"Alone, together: Product discovery through consumer ratings",['T Bondi'],NYU Stern School of Business,2019.0,The first bias I identify is that differences in review scores understate  Goodreads benefits  Amazon – which acquired Goodreads in 2013 – at the expense of its competition. Goodreads (,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3468433
