"Authors","Title","Year","Source title","Link","Abstract"
"Naghiaei M.; Rahmani H.A.; Dehghan M.","The Unfairness of Popularity Bias in Book Recommendation","2022","Communications in Computer and Information Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134358321&doi=10.1007%2f978-3-031-09316-6_7&partnerID=40&md5=548f25798dbb919d482bf020f932d01b","Recent studies have shown that recommendation systems commonly suffer from popularity bias. Popularity bias refers to the problem that popular items (i.e., frequently rated items) are recommended frequently while less popular items are recommended rarely or not at all. Researchers adopted two approaches to examining popularity bias: (i) from the users’ perspective, by analyzing how far a recommendation system deviates from user’s expectations in receiving popular items, and (ii) by analyzing the amount of exposure that long-tail items receive, measured by overall catalog coverage and novelty. In this paper, we examine the first point of view in the book domain, although the findings may be applied to other domains as well. To this end, we analyze the well-known Book-Crossing dataset and define three user groups based on their tendency towards popular items (i.e., Niche, Diverse, Bestseller-focused). Further, we evaluate the performance of nine state-of-the-art recommendation algorithms and two baselines (i.e., Random, MostPop) from both the accuracy (e.g., NDCG, Precision, Recall) and popularity bias perspectives. Our results indicate that most state-of-the-art recommendation algorithms suffer from popularity bias in the book domain, and fail to meet users’ expectations with Niche and Diverse tastes despite having a larger profile size. Conversely, Bestseller-focused users are more likely to receive high-quality recommendations, both in terms of fairness and personalization. Furthermore, our study shows a tradeoff between personalization and unfairness of popularity bias in recommendation algorithms for users belonging to the Diverse and Bestseller groups, that is, algorithms with high capability of personalization suffer from the unfairness of popularity bias. Finally, across the models, our results show that WMF and VAECF can provide a higher quality recommendation when considering both accuracy and fairness perspectives. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
"Choi N.; Joo S.","Booklovers' world: An examination of factors affecting continued usage of social cataloging sites","2016","Journal of the Association for Information Science and Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995495207&doi=10.1002%2fasi.23556&partnerID=40&md5=c1fed9640c2e488d6e5139a3b0a30a2d","Little is known about what factors influence users' continued use of social cataloging sites. This study therefore examines the impacts of key factors from theories of information systems (IS) success and sense of community (SOC) on users' continuance intention in the social cataloging context. Data collected from an online survey of 323 social cataloging users provide empirical support for the research model. The findings indicate that both information quality (IQ) and system quality (SQ) are significant predictors of satisfaction and SOC, which in turn lead to users' intentions to continue using these sites. In addition, SOC was found to affect continuance intention not only directly, but also indirectly through satisfaction. Theoretically, this study draws attention to a largely unexplored but essential area of research in the social cataloging literature and provides a fundamental basis to understand the determinants of continued social cataloging usage. From a managerial perspective, the findings suggest that social cataloging service providers should constantly focus their efforts on the quality control of their contents and system, and the enhancement of SOC among their users. © 2015 ASIS&T"
"Deldjoo Y.; Bellogin A.; Di Noia T.","Explaining recommender systems fairness and accuracy through the lens of data characteristics","2021","Information Processing and Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112045360&doi=10.1016%2fj.ipm.2021.102662&partnerID=40&md5=79c0c9fbb5b164a2a9a0b8719e2d25d5","The impact of data characteristics on the performance of classical recommender systems has been recently investigated and produced fruitful results about the relationship they have with recommendation accuracy. This work provides a systematic study on the impact of broadly chosen data characteristics (DCs) of recommender systems. This is applied to the accuracy and fairness of several variations of CF recommendation models. We focus on a suite of DCs that capture properties about the structure of the user–item interaction matrix, the rating frequency, item properties, or the distribution of rating values. Experimental validation of the proposed system involved large-scale experiments by performing 23,400 recommendation simulations on three real-world datasets in the movie (ML-100K and ML-1M) and book domains (BookCrossing). The validation results show that the investigated DCs in some cases can have up to 90% of explanatory power – on several variations of classical CF algorithms –, while they can explain – in the best case – about 40% of fairness results (measured according to user gender and age sensitive attributes). Therefore, this work evidences that it is more difficult to explain variations in performance when dealing with fairness dimension than accuracy. © 2021 The Authors"
"Ekstrand M.D.; Kluver D.","Exploring author gender in book rating and recommendation","2021","User Modeling and User-Adapted Interaction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100480096&doi=10.1007%2fs11257-020-09284-2&partnerID=40&md5=7991afa561912376badc656d08226e18","Collaborative filtering algorithms find useful patterns in rating and consumption data and exploit these patterns to guide users to good items. Many of these patterns reflect important real-world phenomena driving interactions between the various users and items; other patterns may be irrelevant or reflect undesired discrimination, such as discrimination in publishing or purchasing against authors who are women or ethnic minorities. In this work, we examine the response of collaborative filtering recommender algorithms to the distribution of their input data with respect to one dimension of social concern, namely content creator gender. Using publicly available book ratings data, we measure the distribution of the genders of the authors of books in user rating profiles and recommendation lists produced from this data. We find that common collaborative filtering algorithms tend to propagate at least some of each user’s tendency to rate or read male or female authors into their resulting recommendations, although they differ in both the strength of this propagation and the variance in the gender balance of the recommendation lists they produce. The data, experimental design, and statistical methods are designed to be reusable for studying potentially discriminatory social dimensions of recommendations in other domains and settings as well. © 2021, Springer Nature B.V."
"Kim T.; Jung K.; Park S.","Sparsity reduction technique using grouping method for matrix factorization in differentially private recommendation systems","2020","IEICE Transactions on Information and Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089384096&doi=10.1587%2ftransinf.2019EDP7238&partnerID=40&md5=de2c59967ae858ddc1da2005c213e2c7","Web service users are overwhelmed by the amount of information presented to them and have difficulties in finding the information that they need. Therefore, a recommendation system that predicts users' taste is an essential factor for the success of businesses. However, recommendation systems require users' personal information and can thus lead to serious privacy violations. To solve this problem, many research has been conducted about protecting personal information in recommendation systems and implementing differential privacy, a privacy protection technique that inserts noise into the original data. However, previous studies did not examine the following factors in applying differential privacy to recommendation systems. First, they did not consider the sparsity of user rating information. The total number of items is much more than the number of user-rated items. Therefore, a rating matrix created for users and items will be very sparse. This characteristic renders the identification of user patterns in rating matrixes difficult. Therefore, the sparsity issue should be considered in the application of differential privacy to recommendation systems. Second, previous studies focused on protecting user rating information but did not aim to protect the lists of user-rated items. Recommendation systems should protect these item lists because they also disclose user preferences. In this study, we propose a differentially private recommendation scheme that bases on a grouping method to solve the sparsity issue and to protect user-rated item lists and user rating information. The proposed technique shows better performance and privacy protection on actual movie rating data in comparison with an existing technique. © 2020 Institute of Electronics, Information and Communication, Engineers, IEICE. All rights reserved."
"Šafaǎík J.; Vančura V.; Kordík P.","RepSys: Framework for Interactive Evaluation of Recommender Systems","2022","RecSys 2022 - Proceedings of the 16th ACM Conference on Recommender Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139551521&doi=10.1145%2f3523227.3551469&partnerID=40&md5=b5156e201ab2b101a6c039a6d2d70974","Making recommender systems more transparent and auditable is crucial for the future adoption of these systems. Available tools typically present mostly errors of models aggregated over all test users, which is often insufficient to uncover hidden biases and problems. Moreover, the emphasis is primarily on the accuracy of recommendations but less on other important metrics, such as the diversity of recommended items, the extent of catalog coverage, or the opportunity to discover novel items at bestsellers' expense. In this work, we propose RepSys, a framework for evaluating recommender systems. Our work offers a set of highly interactive approaches for investigating various scenario recommendations, analyzing a dataset, and evaluating distributions of various metrics that combine visualization techniques with existing offline evaluation methods. RepSys framework is available under an open-source license to other researchers.  © 2022 Owner/Author."
"Kannan R.; Ishteva M.; Park H.","Bounded matrix factorization for recommender system","2014","Knowledge and Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900521917&doi=10.1007%2fs10115-013-0710-2&partnerID=40&md5=f692aba5e56af7d8cd700eb399799ed3","Matrix factorization has been widely utilized as a latent factor model for solving the recommender system problem using collaborative filtering. For a recommender system, all the ratings in the rating matrix are bounded within a pre-determined range. In this paper, we propose a new improved matrix factorization approach for such a rating matrix, called Bounded Matrix Factorization (BMF), which imposes a lower and an upper bound on every estimated missing element of the rating matrix. We present an efficient algorithm to solve BMF based on the block coordinate descent method. We show that our algorithm is scalable for large matrices with missing elements on multicore systems with low memory. We present substantial experimental results illustrating that the proposed method outperforms the state of the art algorithms for recommender system such as stochastic gradient descent, alternating least squares with regularization, SVD++ and Bias-SVD on real-world datasets such as Jester, Movielens, Book crossing, Online dating and Netflix. © 2013 Springer-Verlag London."
"Zia A.; Alzahrani M.","Investigating the Effects of E-Marketing Factors for Agricultural Products on the Emergence of Sustainable Consumer Behaviour","2022","Sustainability (Switzerland)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140829954&doi=10.3390%2fsu142013072&partnerID=40&md5=fe9f0ae270f4cfb8a0665c62c399fa19","The digitalisation of services is a process that is gaining traction worldwide owing to the numerous benefits that it provides to sellers and consumers. This study aimed to explore the impact of e-marketing factors for agricultural products on the sustainable consumer behaviour. The technology acceptance model (TAM) and the extended unified theory of acceptance and use of technology (UTAUT2) model were used to investigate the factors that trigger long-term behavioural changes towards more sustainable consumer behaviour. Trust and continuance intention (CI) constitute sustainable consumer behaviours. The survey-based data were collected from 172 farmers in and around the Al-Baha province of Saudi Arabia. The findings reveal that, out of the six factors, social influence (SI), hedonic motives (HM), and perceived risk (PR) had a significant impact on trust whereas the perceived usefulness (PU), information quality (IQ), and the perceived ease of use (PEOU) had an insignificant impact on trust. Trust appears to had a substantial positive impact on the development of CI. Furthermore, the significant moderation of age and the insignificant moderation of education are observed among trust–CI relationship. Therefore, policymakers should concentrate on the factors such as SI and decrease the factors that are related to the PR in order to achieve a higher level of trust. This study contributes to the literature on e-marketing of agricultural products resulting in the formation of CI that triggers long-term behavioural changes towards more sustainable consumer behaviour. © 2022 by the authors."
"Hasan T.; Bunescu R.","Topic-Level Bayesian Surprise and Serendipity for Recommender Systems","2023","Proceedings  of the 17th ACM Conference on Recommender Systems, RecSys 2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174509977&doi=10.1145%2f3604915.3608851&partnerID=40&md5=4fc04eb2bf9ee72321bef12186209685","A recommender system that optimizes its recommendations solely to fit a user's history of ratings for consumed items can create a filter bubble, wherein the user does not get to experience items from novel, unseen categories. One approach to mitigate this undesired behavior is to recommend items with high potential for serendipity, namely surprising items that are likely to be highly rated. In this paper, we propose a content-based formulation of serendipity that is rooted in Bayesian surprise and use it to measure the serendipity of items after they are consumed and rated by the user. When coupled with a collaborative-filtering component that identifies similar users, this enables recommending items with high potential for serendipity. To facilitate the evaluation of topic-level models for surprise and serendipity, we introduce a dataset of book reading histories extracted from Goodreads, containing over 26 thousand users and close to 1.3 million books, where we manually annotate 449 books read by 4 users in terms of their time-dependent, topic-level surprise. Experimental evaluations show that models that use Bayesian surprise correlate much better with the manual annotations of topic-level surprise than distance-based heuristics, and also obtain better serendipitous item recommendation performance. © 2023 ACM."
"Zhang A.; Chen Y.; Sheng L.; Wang X.; Chua T.-S.","On Generative Agents in Recommendation","2024","SIGIR 2024 - Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193013472&doi=10.1145%2f3626772.3657844&partnerID=40&md5=b44cdee4183e3e8123d44abfc7e076be","Recommender systems are the cornerstone of today's information dissemination, yet a disconnect between offline metrics and online performance greatly hinders their development. Addressing this challenge, we envision a recommendation simulator, capitalizing on recent breakthroughs in human-level intelligence exhibited by Large Language Models (LLMs). We propose Agent4Rec, a user simulator in recommendation, leveraging LLM-empowered generative agents equipped with user profile, memory, and actions modules specifically tailored for the recommender system. In particular, these agents' profile modules are initialized using real-world datasets (e.g., MovieLens, Steam, Amazon-Book), capturing users' unique tastes and social traits; memory modules log both factual and emotional memories and are integrated with an emotion-driven reflection mechanism; action modules support a wide variety of behaviors, spanning both taste-driven and emotion-driven actions. Each agent interacts with personalized recommender models in a page-by-page manner, relying on a pre-implemented collaborative filtering-based recommendation algorithm. We delve into both the capabilities and limitations of Agent4Rec, aiming to explore an essential research question: ""To what extent can LLM-empowered generative agents faithfully simulate the behavior of real, autonomous humans in recommender systems?""Extensive and multi-faceted evaluations of Agent4Rec highlight both the alignment and deviation between agents and user-personalized preferences. Beyond mere performance comparison, we explore insightful experiments, such as emulating the filter bubble effect and discovering the underlying causal relationships in recommendation tasks. © 2024 Owner/Author."
