Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Artificial Intelligence Algorithms for Collaborative Book Recommender Systems,Annals of Data Science,,11,5,10.1007/s40745-023-00474-4,Clemens TegetmeierArne JohannssenNataliya Chukhrova,2024,http://link.springer.com/article/10.1007/s40745-023-00474-4,Article
Exploring and mitigating gender bias in book recommender systems with explicit feedback,Journal of Intelligent Information Systems,,62,5,10.1007/s10844-023-00827-8,Shrikant SaxenaShweta Jain,2024,http://link.springer.com/article/10.1007/s10844-023-00827-8,Article
DHSIRS: a novel deep hybrid side information-based recommender system,Multimedia Tools and Applications,,82,22,10.1007/s11042-023-15021-9,Amir Khani YengikandMajid MeghdadiSajad Ahmadian,2023,http://link.springer.com/article/10.1007/s11042-023-15021-9,Article
Bounded matrix factorization for recommender system,Knowledge and Information Systems,,39,3,10.1007/s10115-013-0710-2,Ramakrishnan KannanMariya IshtevaHaesun Park,2014,http://link.springer.com/article/10.1007/s10115-013-0710-2,Article
Noisy but non-malicious user detection in social recommender systems,World Wide Web,,16,5 - 6,10.1007/s11280-012-0161-9,Bin LiLing ChenXingquan ZhuChengqi Zhang,2013,http://link.springer.com/article/10.1007/s11280-012-0161-9,Article
A deep learning-based hybrid model for recommendation generation and ranking,Neural Computing and Applications,,33,17,10.1007/s00521-020-04844-4,N. SivaramakrishnanV. SubramaniyaswamyAmelec ViloriaV. VijayakumarN. Senthilselvan,2021,http://link.springer.com/article/10.1007/s00521-020-04844-4,Article
Exploring author gender in book rating and recommendation,User Modeling and User-Adapted Interaction,,31,3,10.1007/s11257-020-09284-2,Michael D. EkstrandDaniel Kluver,2021,http://link.springer.com/article/10.1007/s11257-020-09284-2,Article
SKGCR: self-supervision enhanced knowledge-aware graph collaborative recommendation,Applied Intelligence,,53,17,10.1007/s10489-023-04539-y,Xiangkun LiuBo YangJingyu Xu,2023,http://link.springer.com/article/10.1007/s10489-023-04539-y,Article
Intrinsically motivated reinforcement learning based recommendation with counterfactual data augmentation,World Wide Web,,26,5,10.1007/s11280-023-01187-7,Xiaocong ChenSiyu WangLianyong QiYong LiLina Yao,2023,http://link.springer.com/article/10.1007/s11280-023-01187-7,Article
Aggregating knowledge-aware graph neural network and adaptive relational attention for recommendation,Applied Intelligence,,52,15,10.1007/s10489-022-03359-w,Yihao ZhangMeng YuanChu ZhaoMian ChenXiaoyang Liu,2022,http://link.springer.com/article/10.1007/s10489-022-03359-w,Article
Deep autoencoders for feature learning with embeddings for recommendations: a novel recommender system solution,Neural Computing and Applications,,33,21,10.1007/s00521-021-06065-9,Kiran RamaPradeep KumarBharat Bhasker,2021,http://link.springer.com/article/10.1007/s00521-021-06065-9,Article
FedKGRec: privacy-preserving federated knowledge graph aware recommender system,Applied Intelligence,,54,19,10.1007/s10489-024-05634-4,Xiao MaHongyu ZhangJiangfeng ZengYiqi DuanXuan Wen,2024,http://link.springer.com/article/10.1007/s10489-024-05634-4,Article
A survey of attack detection approaches in collaborative filtering recommender systems,Artificial Intelligence Review,,54,3,10.1007/s10462-020-09898-3,Fatemeh RezaimehrChitra Dadkhah,2021,http://link.springer.com/article/10.1007/s10462-020-09898-3,Article
Multi-view fusion for recommendation with attentive deep neural network,Evolutionary Intelligence,,15,4,10.1007/s12065-021-00626-6,Wang JingArun Kumar SangaiahLiu WeiLiu ShaopengLiu LeiLiang Ruishi,2022,http://link.springer.com/article/10.1007/s12065-021-00626-6,Article
Meta concept recommendation based on knowledge graph,Discover Computing,,27,1,10.1007/s10791-024-09467-0,Xianglin WuHaonan JiangJingwei ZhangZezheng WuXinghe ChengQing YangYa Zhou,2024,http://link.springer.com/article/10.1007/s10791-024-09467-0,Article
BIKAGCN: Knowledge-Aware Recommendations Under Bi-layer Graph Convolutional Networks,Neural Processing Letters,,56,1,10.1007/s11063-024-11475-6,Guoshu LiLi YangSichang BaiXinyu SongYijun RenShanqiang Liu,2024,http://link.springer.com/article/10.1007/s11063-024-11475-6,Article
Application of MLP Based on Joint Similar Groups in User Interest Expression and Recommendation Service,SN Computer Science,,3,4,10.1007/s42979-022-01187-w,Zhenyu LiShuqing LiYunhan LiuZhan Bu,2022,http://link.springer.com/article/10.1007/s42979-022-01187-w,Article
HeteGraph: graph learning in recommender systems via graph convolutional networks,Neural Computing and Applications,,35,18,10.1007/s00521-020-05667-z,Dai Hoang TranQuan Z. ShengWei Emma ZhangAbdulwahab AljubairyMunazza ZaibSalma Abdalla HamadNguyen H. TranNguyen Lu Dang Khoa,2023,http://link.springer.com/article/10.1007/s00521-020-05667-z,Article
Shilling attacks against recommender systems: a comprehensive survey,Artificial Intelligence Review,,42,4,10.1007/s10462-012-9364-9,Ihsan GunesCihan KaleliAlper BilgeHuseyin Polat,2014,http://link.springer.com/article/10.1007/s10462-012-9364-9,Article
Effective methods for increasing aggregate diversity in recommender systems,Knowledge and Information Systems,,56,2,10.1007/s10115-017-1135-0,Mahmut Özge KarakayaTevfik Aytekin,2018,http://link.springer.com/article/10.1007/s10115-017-1135-0,Article
Explainable recommendation based on fusion representation of multi-type feature embedding,The Journal of Supercomputing,,80,8,10.1007/s11227-023-05831-x,Jianxing ZhengSen ChenFeng CaoFurong PengMingqing Huang,2024,http://link.springer.com/article/10.1007/s11227-023-05831-x,Article
Graph attention-based collaborative filtering for user-specific recommender system using knowledge graph and deep neural networks,Knowledge and Information Systems,,64,9,10.1007/s10115-022-01709-1,Ehsan ElahiZahid Halim,2022,http://link.springer.com/article/10.1007/s10115-022-01709-1,Article
How good your recommender system is? A survey on evaluations in recommendation,International Journal of Machine Learning and Cybernetics,,10,5,10.1007/s13042-017-0762-9,Thiago SilveiraMin ZhangXiao LinYiqun LiuShaoping Ma,2019,http://link.springer.com/article/10.1007/s13042-017-0762-9,Article
McHa: a multistage clustering-based hierarchical attention model for knowledge graph-aware recommendation,World Wide Web,,25,3,10.1007/s11280-022-01022-5,Jihu WangYuliang ShiDong LiKun ZhangZhiyong ChenHui Li,2022,http://link.springer.com/article/10.1007/s11280-022-01022-5,Article
Knowledge-enhanced multi-task recommendation in hyperbolic space,Applied Intelligence,,53,23,10.1007/s10489-023-05045-x,Junlin ZhuYihao ZhangYulin WangWeiwen LiaoRuizhen ChenMeng Yuan,2023,http://link.springer.com/article/10.1007/s10489-023-05045-x,Article
Recommending on graphs: a comprehensive review from a data perspective,User Modeling and User-Adapted Interaction,,33,4,10.1007/s11257-023-09359-w,Lemei ZhangPeng LiuJon Atle Gulla,2023,http://link.springer.com/article/10.1007/s11257-023-09359-w,Article
Recommender systems based on user reviews: the state of the art,User Modeling and User-Adapted Interaction,,25,2,10.1007/s11257-015-9155-5,Li ChenGuanliang ChenFeng Wang,2015,http://link.springer.com/article/10.1007/s11257-015-9155-5,Article
Consumer-side fairness in recommender systems: a systematic survey of methods and evaluation,Artificial Intelligence Review,,57,4,10.1007/s10462-023-10663-5,Bjørnar VassøyHelge Langseth,2024,http://link.springer.com/article/10.1007/s10462-023-10663-5,Article
An integration method for optimizing the use of explicit and implicit feedback in recommender systems,Journal of Ambient Intelligence and Humanized Computing,,14,12,10.1007/s12652-023-04714-6,SeungJoo LeeEuijong LeeYoung-Duk Seo,2023,http://link.springer.com/article/10.1007/s12652-023-04714-6,Article
X-Model4Rec: An Extensible Recommender Model Based on the User’s Dynamic Taste Profile,Human-Centric Intelligent Systems,,4,3,10.1007/s44230-024-00073-3,Rogério Xavier de AzambujaA. Jorge MoraisVítor Filipe,2024,http://link.springer.com/article/10.1007/s44230-024-00073-3,Article
A systematic review and research perspective on recommender systems,Journal of Big Data,,9,1,10.1186/s40537-022-00592-5,Deepjyoti RoyMala Dutta,2022,http://link.springer.com/article/10.1186/s40537-022-00592-5,Article
DEKGCI: A double-ended recommendation model for integrating knowledge graph and user–item interaction graph,The Journal of Supercomputing,,80,16,10.1007/s11227-024-06344-x,Yajing YangZeyu ZengShiyun JiangMao ChenRuirui Shang,2024,http://link.springer.com/article/10.1007/s11227-024-06344-x,Article
Implicit optimal variational collaborative filtering,Complex & Intelligent Systems,,8,5,10.1007/s40747-022-00696-8,Joojo WalkerFan ZhouEdward Y. BaagyereEmmanuel AheneFengli Zhang,2022,http://link.springer.com/article/10.1007/s40747-022-00696-8,Article
When large language models meet personalization: perspectives of challenges and opportunities,World Wide Web,,27,4,10.1007/s11280-024-01276-1,Jin ChenZheng LiuXu HuangChenwang WuQi LiuGangwei JiangYuanhao PuYuxuan LeiXiaolong ChenXingmei WangKai ZhengDefu LianEnhong Chen,2024,http://link.springer.com/article/10.1007/s11280-024-01276-1,Article
Analyzing and improving stability of matrix factorization for recommender systems,Journal of Intelligent Information Systems,,58,2,10.1007/s10844-021-00686-1,Edoardo D’AmicoGiovanni GabboliniCesare BernardisPaolo Cremonesi,2022,http://link.springer.com/article/10.1007/s10844-021-00686-1,Article
Knowledge-enhanced graph convolutional network for recommendation,Multimedia Tools and Applications,,81,20,10.1007/s11042-022-12272-w,Xianlun TangJingming YangDeyi XiongYang LuoHuimin WangDeguang Peng,2022,http://link.springer.com/article/10.1007/s11042-022-12272-w,Article
Co-clustering neighborhood—based collaborative filtering framework using formal concept analysis,International Journal of Information Technology,,14,4,10.1007/s41870-022-00913-0,Shipra KatariaUsha Batra,2022,http://link.springer.com/article/10.1007/s41870-022-00913-0,Article
A probabilistic perspective on nearest neighbor for implicit recommendation,International Journal of Data Science and Analytics,,16,2,10.1007/s41060-022-00367-4,Domokos M. KelenAndras A. Benczúr,2023,http://link.springer.com/article/10.1007/s41060-022-00367-4,Article
Serendipity in Recommender Systems: A Systematic Literature Review,Journal of Computer Science and Technology,,36,2,10.1007/s11390-020-0135-9,Reza Jafari ZiaraniReza Ravanmehr,2021,http://link.springer.com/article/10.1007/s11390-020-0135-9,Article
Assessing ranking metrics in top-N recommendation,Information Retrieval Journal,,23,4,10.1007/s10791-020-09377-x,Daniel ValcarceAlejandro BellogínJavier ParaparPablo Castells,2020,http://link.springer.com/article/10.1007/s10791-020-09377-x,Article
How graph convolutions amplify popularity bias for recommendation?,Frontiers of Computer Science,,18,5,10.1007/s11704-023-2655-2,Jiajia ChenJiancan WuJiawei ChenXin XinYong LiXiangnan He,2023,http://link.springer.com/article/10.1007/s11704-023-2655-2,Article
Cross attention fusion for knowledge graph optimized recommendation,Applied Intelligence,,52,9,10.1007/s10489-021-02930-1,Weijian HuangJianhua WuWeihu SongZehua Wang,2022,http://link.springer.com/article/10.1007/s10489-021-02930-1,Article
Graph convolution machine for context-aware recommender system,Frontiers of Computer Science,,16,6,10.1007/s11704-021-0261-8,Jiancan WuXiangnan HeXiang WangQifan WangWeijian ChenJianxun LianXing Xie,2022,http://link.springer.com/article/10.1007/s11704-021-0261-8,Article
A method for evaluating discoverability and navigability of recommendation algorithms,Computational Social Networks,,4,1,10.1186/s40649-017-0045-3,Daniel LamprechtMarkus StrohmaierDenis Helic,2017,http://link.springer.com/article/10.1186/s40649-017-0045-3,Article
What recommenders recommend: an analysis of recommendation biases and possible countermeasures,User Modeling and User-Adapted Interaction,,25,5,10.1007/s11257-015-9165-3,Dietmar JannachLukas LercheIman KamehkhoshMichael Jugovac,2015,http://link.springer.com/article/10.1007/s11257-015-9165-3,Article
Improving recommender system via knowledge graph based exploring user preference,Applied Intelligence,,52,9,10.1007/s10489-021-02872-8,Huilian FanYuanchang ZhongGuangpu ZengChenhao Ge,2022,http://link.springer.com/article/10.1007/s10489-021-02872-8,Article
A bias detection tree approach for detecting disparities in a recommendation model’s errors,User Modeling and User-Adapted Interaction,,33,1,10.1007/s11257-022-09334-x,Joanna Misztal-RadeckaBipin Indurkhya,2023,http://link.springer.com/article/10.1007/s11257-022-09334-x,Article
Recommender systems: from algorithms to user experience,User Modeling and User-Adapted Interaction,,22,1 - 2,10.1007/s11257-011-9112-x,Joseph A. KonstanJohn Riedl,2012,http://link.springer.com/article/10.1007/s11257-011-9112-x,Article
Deep learning approaches to address cold start and long tail challenges in recommendation systems: a systematic review,Multimedia Tools and Applications,,,,10.1007/s11042-024-20262-3,Manisha JangidRakesh Kumar,2024,http://link.springer.com/article/10.1007/s11042-024-20262-3,Article
A systematic literature review of sparsity issues in recommender systems,Social Network Analysis and Mining,,10,1,10.1007/s13278-020-0626-2,Nouhaila IdrissiAhmed Zellou,2020,http://link.springer.com/article/10.1007/s13278-020-0626-2,Article
Collaborative filtering integrated fine-grained sentiment for hybrid recommender system,The Journal of Supercomputing,,80,4,10.1007/s11227-023-05600-w,Rawaa AlatrashRojalina PriyadarshiniHadi Ezaldeen,2024,http://link.springer.com/article/10.1007/s11227-023-05600-w,Article
