Title,Link,Authors,Abstract,Venue,Year
Get Out: Academic Libraries as the Sunken Place,https://doi.org/10.1086/731844,['Simone Williams'],"AbstractCritical race theory (CRT) is rarely discussed in LIS literature. Two principles of CRT, interest convergence and differential racialization, can possibly help us to better understand and challenge the pervasiveness and harmfulness of Whiteness in LIS. The purpose of this analysis is to demonstrate how crippling Whiteness can be to Black, Indigenous, and people of color (BIPOC) library employees. Survey feedback provided insight into how BIPOC employees feel about their positions within academic libraries and LIS. Themes from the film Get Out were explored in this survey to examine if the library is the proverbial Sunken Place.",The Library Quarterly,2024
Reading When Stressed: Understanding Motivations for Reading Fiction and Enhancing Future Recommendation Services,https://doi.org/10.1086/730461,"['Hyerim Cho', 'Wan-Chen Lee', 'Li-Min Huang', 'Alex Urban']","AbstractThis study investigated fiction readers’ motivations for reading, their relevant needs regarding the fiction attributes, and their expectations for future fiction recommendation services. Seventy-six participants shared their fiction search and reading experiences through an open-ended, free-writing-style online survey. Findings show that readers’ motivations (a sense of connection, comfort and safety, diverse selection, escapism, coping with stressful circumstances) and corresponding fiction elements (e.g., author’s background information, themes, mood) were closely related to the situations or contexts that readers experienced, especially so for stress stemming from the COVID-19 pandemic.",The Library Quarterly,2024
"The Potential Role of Public Libraries in a Quadruple Helix Model of “Smart City” Development: Lessons from Chattanooga, Tennessee",https://doi.org/10.1086/721399,"['Mila Gasco-Hernandez', 'Xiaoyi Yerden', 'G. Burke', 'J. Gil-Garcia']","AbstractAlthough previous studies on “smart cities” have acknowledged the participation of different actors in their development, there is limited research exploring the involvement of community-rooted organizations, such as public libraries, in specific smart city models and frameworks. In this article, we study the case of Chattanooga, Tennessee, to identify the potential role of public libraries in a quadruple helix model of smart city development. Our findings indicate that the Chattanooga Public Library is mainly contributing to building a smart Chattanooga in three different ways: (a) by developing smart citizens, (b) by enabling citizen participation, and (c) by providing an innovation environment. Thus, it is part of the fourth helix, but it is also becoming an important space for the collaboration and interaction of actors in all four helixes.",The Library Quarterly,2022
Transition of Public and Academic Library Makerspaces from Physical to Online Settings during a Pandemic,https://doi.org/10.1086/723848,"['Soo Kim', 'Yong Jung', 'Gi Choi']","AbstractThis research investigates how academic and public library makerspaces transitioned to online maker programming during COVID-19. Using a collective case study methodology based on interviews with library staff, the findings describe three resources that supported the online transition—existing knowledge, technology infrastructure and staff with technology expertise, and interorganizational collaboration—while navigating challenges related to logistics, lack of staff and training, substitution for the benefits of experiential learning, facilitation of online interactions, online marketing and program assessment, and social issues. The findings illustrate how online maker programming has expanded through changes in approaches. This article illustrates an increased level of accessibility, new skills for future maker programming, and changes in perceptions about online learning and making, as three central outcomes. These findings lay the groundwork for future research developing robust design guidelines for online maker programming beyond the pandemic.",The Library Quarterly,2023
Impact of the COVID-19 Pandemic on Chinese College Students’ Information Behavior and Library Needs: A Qualitative Study,https://doi.org/10.1086/713051,"['Yanxia Shi', 'Chundong Li', 'Lili Luo']","AbstractUsing journaling and in-depth interviews, a qualitative study was conducted to examine the library use and library needs of Chinese college students during the COVID-19 (coronavirus disease 2019) pandemic. Findings indicate that students lack awareness and understanding of the library’s online resources and would like the library to provide support in ways that could help them enhance productivity and lessen anxiety in the new reality of learning. Libraries should consider making more outreach efforts and offering programs and events to ameliorate isolation and improve students’ sense of community. In this study, we seek to provide academic libraries with a nuanced view of user needs and thus help them make informed decisions to serve their campus communities during the unprecedented health crisis. Through the exploration and documentation of college students’ library use and needs, we also hope to document this critical historical event for the library community.",The Library Quarterly,2021
Books Received,https://doi.org/10.1086/721389,missing,missing,The Library Quarterly,2022
"Joseph R. Matthews, Research-Based Planning for Public Libraries: Increasing Relevance in the Digital Age",https://doi.org/10.1086/686682,['Ashley Rayner'],missing,The Library Quarterly,2016
An Application of Asian Critical Theory to Books for Young Readers: The APALA Rubric to Evaluate Asian American and Pacific Islander Youth Literature,https://doi.org/10.1086/731840,"['Amy Breslin', 'Sarah Dahlen', 'Kristen Kwisnek', 'Becky Leathersich']","AbstractA subcommittee under the Family Literacy Focus committee of the Asian Pacific American Librarians Association (APALA) created a comprehensive rubric for evaluating Asian American and Pacific Islander (AAPI) representation in youth literature. The APALA Rubric’s creation was inspired by the Council on Interracial Books for Children’s “Ten Quick Ways to Analyze Children’s Books for Sexism and Racism” (1974). This article discusses the APALA Rubric within an Asian critical theory framework, especially the tenets of Asianization, counterstorytelling, and intersectionality, and guides readers through using it to evaluate youth literature depicting Asian and Pacific Islander diasporas. The APALA Rubric is divided into categories, including stereotypes, tokenism, humanity, power, agency, heroes, and racism. This article analyzes specific examples of youth literature to explain how they affirm or fail to affirm the criteria for those categories.",The Library Quarterly,2024
Library and Information Science Journal Prestige as Assessed by Library and Information Science Faculty,https://doi.org/10.1086/668574,['Laura Manzari'],"AbstractThis prestige study surveyed full-time faculty of American Library Association (ALA)–accredited programs in library and information studies regarding library and information science (LIS) journals. Faculty were asked to rate a list of eighty-nine LIS journals on a scale from 1 to 5 based on each journal’s importance to their research and teaching. Mean and mode calculations were used to rank results. Additionally, LIS faculty were asked to list the five most prestigious journals to be published in for tenure and promotion purposes at their institution. Several journals were rated highly by each method. LIS faculty ratings of LIS journals are useful for assessing journal quality not only for decisions regarding collection management but for tenure and promotion as well.",The Library Quarterly,2013
On the Applicability of IFLA Standards in Different Local Contexts: The Case of IFLA School Library Guidelines in China,https://doi.org/10.1086/703470,"['Jing Zhang', 'Lin Lin', 'A. Madden', 'Ying Zhang']","AbstractThis article reports responses to the IFLA’s school library guidelines by school librarians in South China. The IFLA’s 16 guidelines-based recommendations were presented to representatives of eight schools, and a workshop was organized in response to their feedback. Librarians and principals from 42 schools in Guangzhou assessed the guidelines both before and after the workshop. Most recommendations were considered applicable, but several areas were thought to be poorly suited to the Chinese situation. Many participants’ concerns about the relevance of the recommendations were allayed by the training provided during the workshop. However, the training not only informed the participating school librarians of the areas in which the recommendations were appropriate but also highlighted areas where they were not. In particular, participants felt that some elements of the recommendations were politically insensitive and that the lack of status of school librarians in China would make some of them impractical.",The Library Quarterly,2019
